filename,longitude,latitude,label_code,label_name
tile_28.194595_77.221407.tif,77.221407,28.194595,40.0,Cropland
tile_28.194954_77.234421.tif,77.234421,28.194954,40.0,Cropland
tile_28.195312_77.247434.tif,77.247434,28.195312,40.0,Cropland
tile_28.195563_76.856683.tif,76.856683,28.195563,50.0,Built-up
tile_28.195669_77.260448.tif,77.260448,28.195669,40.0,Cropland
tile_28.195957_76.869691.tif,76.869691,28.195957,40.0,Cropland
tile_28.196024_77.273463.tif,77.273463,28.196024,40.0,Cropland
tile_28.196349_76.882699.tif,76.882699,28.196349,40.0,Cropland
tile_28.196379_77.286477.tif,77.286477,28.196379,40.0,Cropland
tile_28.196732_77.299492.tif,77.299492,28.196732,40.0,Cropland
tile_28.196741_76.895708.tif,76.895708,28.196741,40.0,Cropland
tile_28.197083_77.312507.tif,77.312507,28.197083,40.0,Cropland
tile_28.197131_76.908716.tif,76.908716,28.197131,40.0,Cropland
tile_28.197434_77.325522.tif,77.325522,28.197434,40.0,Cropland
tile_28.197520_76.921725.tif,76.921725,28.19752,50.0,Built-up
tile_28.197783_77.338537.tif,77.338537,28.197783,40.0,Cropland
tile_28.197907_76.934735.tif,76.934735,28.197907,50.0,Built-up
tile_28.198131_77.351553.tif,77.351553,28.198131,40.0,Cropland
tile_28.198294_76.947744.tif,76.947744,28.198294,40.0,Cropland
tile_28.198478_77.364569.tif,77.364569,28.198478,50.0,Built-up
tile_28.198679_76.960754.tif,76.960754,28.198679,40.0,Cropland
tile_28.198824_77.377585.tif,77.377585,28.198824,40.0,Cropland
tile_28.199063_76.973764.tif,76.973764,28.199063,40.0,Cropland
tile_28.199168_77.390601.tif,77.390601,28.199168,40.0,Cropland
tile_28.199446_76.986774.tif,76.986774,28.199446,40.0,Cropland
tile_28.199511_77.403618.tif,77.403618,28.199511,40.0,Cropland
tile_28.199827_76.999784.tif,76.999784,28.199827,40.0,Cropland
tile_28.199853_77.416635.tif,77.416635,28.199853,40.0,Cropland
tile_28.200194_77.429652.tif,77.429652,28.200194,40.0,Cropland
tile_28.200208_77.012795.tif,77.012795,28.200208,40.0,Cropland
tile_28.200533_77.442669.tif,77.442669,28.200533,50.0,Built-up
tile_28.200587_77.025806.tif,77.025806,28.200587,40.0,Cropland
tile_28.200871_77.455687.tif,77.455687,28.200871,40.0,Cropland
tile_28.200965_77.038817.tif,77.038817,28.200965,40.0,Cropland
tile_28.201208_77.468704.tif,77.468704,28.201208,40.0,Cropland
tile_28.201341_77.051829.tif,77.051829,28.201341,40.0,Cropland
tile_28.201544_77.481722.tif,77.481722,28.201544,40.0,Cropland
tile_28.201716_77.064841.tif,77.064841,28.201716,40.0,Cropland
tile_28.201878_77.494740.tif,77.49474,28.201878,40.0,Cropland
tile_28.202091_77.077853.tif,77.077853,28.202091,40.0,Cropland
tile_28.202212_77.507759.tif,77.507759,28.202212,40.0,Cropland
tile_28.202464_77.090865.tif,77.090865,28.202464,40.0,Cropland
tile_28.202544_77.520777.tif,77.520777,28.202544,40.0,Cropland
tile_28.202835_77.103877.tif,77.103877,28.202835,40.0,Cropland
tile_28.202874_77.533796.tif,77.533796,28.202874,40.0,Cropland
tile_28.203204_77.546815.tif,77.546815,28.203204,40.0,Cropland
tile_28.203206_77.116890.tif,77.11689,28.203206,40.0,Cropland
tile_28.203532_77.559835.tif,77.559835,28.203532,40.0,Cropland
tile_28.203575_77.129903.tif,77.129903,28.203575,40.0,Cropland
tile_28.203859_77.572854.tif,77.572854,28.203859,40.0,Cropland
tile_28.203943_77.142916.tif,77.142916,28.203943,50.0,Built-up
tile_28.204185_77.585874.tif,77.585874,28.204185,40.0,Cropland
tile_28.204309_77.155930.tif,77.15593,28.204309,40.0,Cropland
tile_28.204510_77.598894.tif,77.598894,28.20451,40.0,Cropland
tile_28.204675_77.168944.tif,77.168944,28.204675,40.0,Cropland
tile_28.204833_77.611914.tif,77.611914,28.204833,40.0,Cropland
tile_28.205039_77.181958.tif,77.181958,28.205039,40.0,Cropland
tile_28.205155_77.624934.tif,77.624934,28.205155,40.0,Cropland
tile_28.205402_77.194972.tif,77.194972,28.205402,40.0,Cropland
tile_28.205476_77.637955.tif,77.637955,28.205476,40.0,Cropland
tile_28.205764_77.207986.tif,77.207986,28.205764,40.0,Cropland
tile_28.205796_77.650975.tif,77.650975,28.205796,40.0,Cropland
tile_28.206125_77.221001.tif,77.221001,28.206125,40.0,Cropland
tile_28.206484_77.234016.tif,77.234016,28.206484,40.0,Cropland
tile_28.206842_77.247031.tif,77.247031,28.206842,40.0,Cropland
tile_28.207087_76.856238.tif,76.856238,28.207087,40.0,Cropland
tile_28.207199_77.260046.tif,77.260046,28.207199,40.0,Cropland
tile_28.207481_76.869247.tif,76.869247,28.207481,40.0,Cropland
tile_28.207554_77.273062.tif,77.273062,28.207554,40.0,Cropland
tile_28.207874_76.882257.tif,76.882257,28.207874,50.0,Built-up
tile_28.207909_77.286078.tif,77.286078,28.207909,40.0,Cropland
tile_28.208262_77.299094.tif,77.299094,28.208262,40.0,Cropland
tile_28.208266_76.895267.tif,76.895267,28.208266,40.0,Cropland
tile_28.208614_77.312110.tif,77.31211,28.208614,40.0,Cropland
tile_28.208656_76.908277.tif,76.908277,28.208656,50.0,Built-up
tile_28.208965_77.325127.tif,77.325127,28.208965,40.0,Cropland
tile_28.209045_76.921287.tif,76.921287,28.209045,50.0,Built-up
tile_28.209314_77.338144.tif,77.338144,28.209314,40.0,Cropland
tile_28.209433_76.934298.tif,76.934298,28.209433,40.0,Cropland
tile_28.209662_77.351161.tif,77.351161,28.209662,40.0,Cropland
tile_28.209820_76.947308.tif,76.947308,28.20982,40.0,Cropland
tile_28.210009_77.364178.tif,77.364178,28.210009,50.0,Built-up
tile_28.210205_76.960320.tif,76.96032,28.210205,40.0,Cropland
tile_28.210355_77.377196.tif,77.377196,28.210355,40.0,Cropland
tile_28.210589_76.973331.tif,76.973331,28.210589,40.0,Cropland
tile_28.210700_77.390213.tif,77.390213,28.2107,40.0,Cropland
tile_28.210972_76.986342.tif,76.986342,28.210972,40.0,Cropland
tile_28.211043_77.403231.tif,77.403231,28.211043,40.0,Cropland
tile_28.211354_76.999354.tif,76.999354,28.211354,40.0,Cropland
tile_28.211385_77.416250.tif,77.41625,28.211385,40.0,Cropland
tile_28.211726_77.429268.tif,77.429268,28.211726,40.0,Cropland
tile_28.211734_77.012367.tif,77.012367,28.211734,40.0,Cropland
tile_28.212065_77.442287.tif,77.442287,28.212065,40.0,Cropland
tile_28.212113_77.025379.tif,77.025379,28.212113,40.0,Cropland
tile_28.212404_77.455305.tif,77.455305,28.212404,40.0,Cropland
tile_28.212491_77.038392.tif,77.038392,28.212491,40.0,Cropland
tile_28.212741_77.468325.tif,77.468325,28.212741,40.0,Cropland
tile_28.212868_77.051404.tif,77.051404,28.212868,40.0,Cropland
tile_28.213077_77.481344.tif,77.481344,28.213077,40.0,Cropland
tile_28.213244_77.064418.tif,77.064418,28.213244,40.0,Cropland
tile_28.213411_77.494363.tif,77.494363,28.213411,40.0,Cropland
tile_28.213618_77.077431.tif,77.077431,28.213618,40.0,Cropland
tile_28.213745_77.507383.tif,77.507383,28.213745,40.0,Cropland
tile_28.213991_77.090445.tif,77.090445,28.213991,40.0,Cropland
tile_28.214077_77.520403.tif,77.520403,28.214077,40.0,Cropland
tile_28.214363_77.103458.tif,77.103458,28.214363,40.0,Cropland
tile_28.214408_77.533423.tif,77.533423,28.214408,40.0,Cropland
tile_28.214734_77.116473.tif,77.116473,28.214734,40.0,Cropland
tile_28.214737_77.546444.tif,77.546444,28.214737,40.0,Cropland
tile_28.215066_77.559465.tif,77.559465,28.215066,40.0,Cropland
tile_28.215103_77.129487.tif,77.129487,28.215103,40.0,Cropland
tile_28.215393_77.572485.tif,77.572485,28.215393,40.0,Cropland
tile_28.215471_77.142502.tif,77.142502,28.215471,40.0,Cropland
tile_28.215719_77.585507.tif,77.585507,28.215719,40.0,Cropland
tile_28.215838_77.155516.tif,77.155516,28.215838,40.0,Cropland
tile_28.216044_77.598528.tif,77.598528,28.216044,40.0,Cropland
tile_28.216204_77.168532.tif,77.168532,28.216204,40.0,Cropland
tile_28.216367_77.611549.tif,77.611549,28.216367,40.0,Cropland
tile_28.216568_77.181547.tif,77.181547,28.216568,40.0,Cropland
tile_28.216690_77.624571.tif,77.624571,28.21669,40.0,Cropland
tile_28.216931_77.194563.tif,77.194563,28.216931,40.0,Cropland
tile_28.217011_77.637593.tif,77.637593,28.217011,40.0,Cropland
tile_28.217293_77.207578.tif,77.207578,28.217293,40.0,Cropland
tile_28.217330_77.650615.tif,77.650615,28.21733,40.0,Cropland
tile_28.217654_77.220594.tif,77.220594,28.217654,40.0,Cropland
tile_28.218013_77.233611.tif,77.233611,28.218013,40.0,Cropland
tile_28.218372_77.246627.tif,77.246627,28.218372,40.0,Cropland
tile_28.218611_76.855792.tif,76.855792,28.218611,40.0,Cropland
tile_28.218729_77.259644.tif,77.259644,28.218729,40.0,Cropland
tile_28.219006_76.868803.tif,76.868803,28.219006,40.0,Cropland
tile_28.219085_77.272661.tif,77.272661,28.219085,40.0,Cropland
tile_28.219399_76.881814.tif,76.881814,28.219399,40.0,Cropland
tile_28.219439_77.285678.tif,77.285678,28.219439,40.0,Cropland
tile_28.219790_76.894825.tif,76.894825,28.21979,40.0,Cropland
tile_28.219792_77.298696.tif,77.298696,28.219792,40.0,Cropland
